event_id,timestamp,user_id,username,src_ip,dest_ip,country,event_type,status,severity,device_type,bytes_in,bytes_out,login_method,is_internal_ip
59,2025-01-27 20:56:32,22,user479,10.83.231.107,10.49.152.127,CA,vpn_login,success,Low,desktop,1405,1657,mfa,True
60,2025-01-11 11:58:17,149,user72,156.102.46.189,10.190.82.43,AU,malware_alert,blocked,High,server,715,6373,mfa,False
61,2025-01-05 04:41:17,66,user186,10.127.120.97,10.160.127.128,BR,file_access,success,Low,laptop,12273,0,password,True
62,2025-01-05 21:49:35,208,user177,10.64.161.51,10.100.213.190,IN,login_failure,failed,High,desktop,0,0,sso,True
63,2025-01-20 14:37:18,411,user157,74.123.79.229,10.111.49.233,CA,policy_violation,blocked,High,desktop,9899,2559,mfa,False
64,2025-01-05 02:34:26,446,user143,65.2.255.205,10.182.175.1,DE,policy_violation,blocked,Medium,server,0,6866,mfa,False
65,2025-01-25 10:30:12,108,user160,10.60.247.153,10.246.109.37,CN,policy_violation,blocked,High,laptop,2455,10754,mfa,True
66,2025-01-23 11:57:50,60,user461,209.126.182.129,10.7.185.46,SG,malware_alert,blocked,High,mobile,0,0,sso,False
67,2025-01-17 03:35:57,365,user306,10.224.114.234,10.189.46.183,CA,policy_violation,blocked,Medium,mobile,0,8998,sso,True
68,2025-01-11 09:20:01,277,user230,10.27.247.217,10.63.235.111,CN,file_access,success,Medium,laptop,0,11717,password,True
69,2025-01-15 19:31:55,24,user265,10.137.83.64,10.85.123.246,US,malware_alert,blocked,Critical,mobile,4588,6105,sso,True
70,2025-01-01 08:14:41,381,user10,10.198.165.161,10.166.131.24,SG,policy_violation,blocked,Medium,laptop,9235,6651,password,True
71,2025-01-12 06:32:42,309,user323,10.174.63.38,10.248.94.157,UK,login_success,success,Low,laptop,5907,0,sso,True
72,2025-01-14 12:54:43,141,user33,10.105.33.223,10.93.49.135,IN,login_failure,failed,Medium,mobile,0,4602,sso,True
73,2025-01-11 02:37:43,14,user262,10.228.80.215,10.255.78.68,BR,malware_alert,blocked,Critical,server,3176,0,password,True
74,2025-01-15 12:07:12,421,user285,10.246.92.114,10.3.104.179,CN,policy_violation,blocked,High,laptop,0,860,sso,True
75,2025-01-17 17:54:18,208,user19,10.140.30.4,10.7.37.166,RU,vpn_login,success,Low,mobile,1424,19067,password,True
76,2025-01-22 10:14:47,30,user292,10.53.93.239,10.31.227.230,IN,policy_violation,blocked,High,server,0,16334,mfa,True
77,2025-01-23 19:23:27,11,user158,10.83.165.163,10.86.188.33,CA,malware_alert,blocked,High,mobile,272,3376,password,True
78,2025-01-05 21:46:34,341,user462,10.214.174.127,10.144.65.22,IN,policy_violation,blocked,Medium,desktop,6863,229,mfa,True
79,2025-01-03 18:35:37,375,user8,10.138.13.23,10.101.51.17,UK,malware_alert,blocked,Medium,laptop,0,22452,password,True
80,2025-01-06 14:28:13,227,user324,10.213.40.79,10.60.49.200,IN,malware_alert,blocked,Critical,laptop,7185,14534,password,True
81,2025-01-29 10:59:13,274,user79,10.169.101.246,10.116.203.125,IN,login_failure,failed,Low,desktop,0,18552,sso,True
82,2025-01-19 22:39:27,151,user359,63.197.65.38,10.18.105.92,UK,vpn_login,success,Low,mobile,6002,11991,sso,False
83,2025-01-06 05:16:39,333,user175,10.230.147.219,10.103.137.145,RU,login_failure,failed,Low,mobile,2939,23059,password,True
84,2025-01-19 23:43:39,110,user463,10.162.95.127,10.198.235.105,BR,file_access,success,Low,laptop,8342,0,sso,True
85,2025-01-09 14:56:09,75,user131,10.181.208.37,10.27.28.109,BR,file_access,success,Low,desktop,5915,7284,password,True
86,2025-01-13 10:48:19,104,user397,10.125.175.61,10.216.193.232,AU,login_failure,failed,Low,desktop,0,10632,sso,True
87,2025-01-21 23:37:35,406,user283,169.250.180.27,10.82.79.95,RU,policy_violation,blocked,Medium,mobile,10627,0,sso,False
88,2025-01-07 21:02:26,31,user59,151.31.21.23,10.143.56.188,SG,login_failure,failed,Medium,desktop,0,0,sso,False
89,2025-01-23 12:26:12,44,user203,10.127.63.66,10.54.0.223,SG,policy_violation,blocked,High,desktop,3205,13986,password,True
90,2025-01-28 19:42:22,123,user348,164.54.92.184,10.122.5.64,IN,policy_violation,blocked,High,laptop,0,9746,password,False
91,2025-01-02 10:25:43,206,user39,10.171.158.54,10.92.60.98,RU,file_access,success,Medium,laptop,4138,8180,password,True
92,2025-01-10 03:29:09,131,user302,10.172.163.153,10.111.215.116,CA,vpn_login,success,Medium,server,1859,10092,sso,True
93,2025-01-21 16:39:41,163,user186,10.33.62.77,10.146.119.63,CN,malware_alert,blocked,High,desktop,1149,12437,mfa,True
94,2025-01-30 04:12:10,319,user23,10.232.175.19,10.90.78.111,DE,login_failure,failed,High,laptop,1696,13022,password,True
95,2025-01-04 03:29:34,248,user263,68.124.158.130,10.1.175.164,AU,file_access,success,Medium,desktop,0,6797,sso,False
96,2025-01-20 00:12:19,15,user375,216.250.97.184,10.122.94.190,DE,vpn_login,success,Low,laptop,0,876,password,False
97,2025-01-05 00:22:27,79,user407,118.178.170.64,10.108.194.150,BR,login_failure,failed,Medium,mobile,462,11183,password,False
98,2025-01-07 16:53:56,350,user445,10.77.39.53,10.5.61.129,SG,malware_alert,blocked,Medium,mobile,0,2047,mfa,True
99,2025-01-14 16:04:24,268,user205,10.165.171.211,10.223.46.93,CA,login_success,success,Medium,mobile,5949,0,sso,True
100,2025-01-19 06:33:44,361,user108,10.146.198.61,10.202.106.251,AU,policy_violation,blocked,Medium,mobile,2250,9959,sso,True
101,2025-01-17 22:53:04,346,user136,10.56.9.211,10.14.163.248,US,malware_alert,blocked,Medium,mobile,0,7769,sso,True
102,2025-01-06 03:03:42,284,user378,170.46.169.249,10.153.191.157,RU,malware_alert,blocked,Critical,desktop,8800,15555,mfa,False
103,2025-01-02 03:41:26,138,user64,10.234.27.113,10.75.85.173,SG,login_failure,failed,Medium,mobile,2403,1673,password,True
104,2025-01-16 08:30:57,179,user261,10.72.180.29,10.103.78.166,US,malware_alert,blocked,High,laptop,2219,10674,mfa,True
105,2025-01-04 13:04:59,461,user252,11.120.169.152,10.193.250.67,CN,file_access,success,Medium,laptop,10179,2730,password,False
106,2025-01-05 08:15:27,52,user410,10.20.218.234,10.58.97.172,CA,login_failure,failed,High,laptop,0,2666,sso,True
107,2025-01-09 01:58:47,148,user405,10.235.17.218,10.60.46.22,UK,malware_alert,blocked,High,mobile,2873,2843,password,True
108,2025-01-14 13:13:09,385,user287,10.243.203.226,10.27.148.239,UK,policy_violation,blocked,Medium,server,6809,12620,mfa,True
109,2025-01-09 17:31:16,214,user367,10.9.154.13,10.219.10.220,AU,login_failure,failed,Medium,laptop,269,8814,password,True
110,2025-01-28 09:12:43,282,user201,10.226.231.115,10.51.229.119,DE,login_success,success,Low,server,6658,13008,mfa,True
111,2025-01-09 04:02:01,223,user432,10.232.84.115,10.49.97.237,US,login_success,success,Medium,laptop,0,7367,password,True
112,2025-01-23 06:53:04,108,user384,10.164.169.215,10.72.118.25,UK,vpn_login,success,Medium,desktop,4734,13233,sso,True
113,2025-01-19 07:52:59,45,user471,10.248.176.125,10.204.9.223,CA,policy_violation,blocked,Medium,desktop,2169,0,mfa,True
114,2025-01-21 08:35:42,233,user318,10.179.226.3,10.227.83.125,BR,file_access,success,Low,server,0,10908,password,True
115,2025-01-15 09:26:58,402,user228,79.189.171.77,10.102.234.70,CA,malware_alert,blocked,Critical,laptop,0,15637,sso,False
116,2025-01-28 05:07:45,346,user246,10.13.44.192,10.25.122.133,DE,policy_violation,blocked,High,server,0,12436,password,True
117,2025-01-19 11:05:05,279,user379,216.51.59.224,10.49.196.23,IN,login_failure,failed,Low,server,4728,6962,mfa,False
118,2025-01-09 02:00:35,428,user373,97.178.42.223,10.63.154.2,IN,file_access,success,Low,server,13368,0,password,False
119,2025-01-30 05:20:06,60,user15,10.76.66.106,10.235.126.242,SG,file_access,success,Low,server,4828,11386,mfa,True
120,2025-01-12 03:39:46,406,user35,10.216.36.242,10.75.132.44,SG,login_failure,failed,High,laptop,2216,5855,sso,True
121,2025-01-14 03:13:56,82,user19,10.215.46.207,10.35.93.49,BR,malware_alert,blocked,High,mobile,51,21776,password,True
122,2025-01-24 00:02:30,331,user428,92.123.136.88,10.124.168.34,CN,file_access,success,Low,laptop,9878,0,sso,False
123,2025-01-24 08:34:58,266,user32,10.22.196.25,10.34.204.233,BR,vpn_login,success,Low,laptop,0,3020,password,True
124,2025-01-29 09:29:47,388,user489,44.85.82.95,10.89.48.231,SG,malware_alert,blocked,High,laptop,10395,14464,mfa,False
125,2025-01-05 17:09:22,158,user403,10.204.44.134,10.138.120.137,DE,vpn_login,success,Low,desktop,13161,1444,sso,True
126,2025-01-26 01:51:53,205,user209,10.27.63.232,10.239.19.27,AU,login_failure,failed,Low,server,4785,9373,mfa,True
127,2025-01-16 21:06:55,294,user208,76.233.129.240,10.1.6.102,CA,login_success,success,Low,laptop,766,0,mfa,False
128,2025-01-22 08:33:15,216,user305,10.204.97.191,10.156.209.184,IN,policy_violation,blocked,Medium,mobile,810,0,password,True
129,2025-01-15 07:19:02,339,user365,10.84.232.167,10.166.244.39,SG,vpn_login,success,Low,server,0,16612,sso,True
130,2025-01-16 05:25:06,68,user46,204.164.194.221,10.240.226.248,SG,vpn_login,success,Low,server,0,10660,sso,False
131,2025-01-22 11:27:09,80,user358,10.51.158.118,10.26.41.28,RU,policy_violation,blocked,Medium,laptop,0,18342,password,True
132,2025-01-23 10:39:08,452,user390,99.164.206.33,10.123.113.43,CA,policy_violation,blocked,High,mobile,4541,6833,sso,False
133,2025-01-15 04:24:43,214,user114,63.210.160.185,10.11.28.6,AU,policy_violation,blocked,Medium,desktop,0,3949,sso,False
134,2025-01-11 04:59:15,335,user298,10.167.126.49,10.138.126.97,UK,login_success,success,Low,server,11821,325,password,True
135,2025-01-22 16:09:58,2,user165,10.135.170.220,10.204.10.246,UK,file_access,success,Low,server,0,10467,sso,True
136,2025-01-26 10:28:49,15,user110,10.200.124.229,10.243.151.111,IN,malware_alert,blocked,Medium,mobile,902,15923,mfa,True
137,2025-01-17 10:18:44,142,user423,10.78.24.89,10.224.136.159,IN,policy_violation,blocked,Medium,server,1538,7235,mfa,True
138,2025-01-03 23:27:44,88,user461,10.91.64.252,10.113.164.55,RU,malware_alert,blocked,High,server,3152,13979,mfa,True
139,2025-01-29 17:16:46,131,user456,52.168.239.127,10.242.159.246,IN,vpn_login,success,Medium,desktop,9006,6774,sso,False
140,2025-01-13 23:00:54,492,user373,10.254.29.15,10.21.189.205,CA,policy_violation,blocked,High,laptop,2044,13327,mfa,True
141,2025-01-19 10:23:27,381,user48,10.218.72.214,10.3.188.54,AU,login_success,success,Medium,mobile,4414,14614,mfa,True
142,2025-01-03 15:49:31,403,user49,80.103.137.5,10.47.104.194,BR,malware_alert,blocked,High,mobile,1968,7411,password,False
143,2025-01-14 08:37:14,263,user316,212.249.20.125,10.173.186.172,DE,file_access,success,Medium,laptop,5548,0,password,False
144,2025-01-15 20:39:42,279,user473,10.16.129.116,10.88.120.186,BR,file_access,success,Low,server,5234,8515,sso,True
145,2025-01-20 13:15:28,453,user143,95.31.113.15,10.19.58.14,BR,vpn_login,success,Low,server,4195,0,mfa,False
146,2025-01-18 07:13:38,240,user109,10.146.104.194,10.214.68.131,US,vpn_login,success,Low,laptop,3347,0,mfa,True
147,2025-01-10 02:11:53,28,user355,10.4.132.248,10.203.227.47,IN,file_access,success,Low,laptop,10105,0,password,True
148,2025-01-06 04:29:38,138,user290,10.212.123.200,10.215.80.239,UK,login_success,success,Low,server,0,7859,password,True
149,2025-01-12 05:26:11,331,user235,10.163.8.39,10.43.82.197,BR,login_success,success,Medium,mobile,4114,2830,password,True
150,2025-01-14 07:30:33,167,user256,196.181.13.131,10.146.165.166,DE,vpn_login,success,Medium,mobile,1500,4269,mfa,False
151,2025-01-01 22:46:04,266,user276,107.142.249.85,10.62.55.82,RU,login_failure,failed,Low,desktop,0,0,sso,False
152,2025-01-16 20:45:38,204,user445,179.196.92.11,10.118.62.123,AU,login_failure,failed,High,mobile,739,9830,password,False
153,2025-01-11 12:32:46,184,user436,10.182.224.41,10.249.82.135,CN,vpn_login,success,Medium,laptop,1296,17983,password,True
154,2025-01-05 20:39:39,15,user323,26.158.158.3,10.118.97.71,DE,vpn_login,success,Medium,server,6304,25,sso,False
155,2025-01-08 02:45:49,212,user254,10.184.203.179,10.168.72.60,CA,login_success,success,Medium,desktop,8106,3638,sso,True
156,2025-01-19 12:39:10,20,user310,10.243.210.239,10.80.197.239,BR,vpn_login,success,Medium,laptop,5612,19476,password,True
157,2025-01-19 19:54:34,371,user400,90.251.57.213,10.237.175.59,CA,login_failure,failed,Medium,laptop,1695,0,mfa,False
158,2025-01-08 15:17:18,389,user398,10.53.27.92,10.249.234.162,AU,login_success,success,Low,mobile,0,0,mfa,True
159,2025-01-02 19:09:04,276,user264,10.8.80.77,10.45.125.26,CN,login_failure,failed,Low,mobile,5312,4805,sso,True
160,2025-01-12 04:15:21,349,user220,85.53.221.209,10.133.144.210,BR,malware_alert,blocked,High,server,1022,0,password,False
161,2025-01-20 12:50:57,37,user160,10.118.85.119,10.243.140.82,BR,malware_alert,blocked,Medium,server,0,20425,password,True
162,2025-01-09 18:03:15,12,user244,123.115.244.26,10.104.76.36,SG,vpn_login,success,Low,laptop,605,19696,sso,False
163,2025-01-20 03:24:49,149,user349,10.108.6.144,10.196.169.8,UK,file_access,success,Low,server,4868,10612,mfa,True
164,2025-01-17 02:57:50,193,user329,10.74.178.16,10.181.17.11,CA,malware_alert,blocked,Critical,laptop,0,10768,password,True
165,2025-01-13 12:30:58,291,user33,90.192.47.5,10.153.24.161,AU,login_failure,failed,Medium,laptop,3042,0,mfa,False
166,2025-01-20 20:00:49,240,user423,10.112.104.140,10.12.96.245,AU,login_failure,failed,Low,mobile,6527,12127,sso,True
167,2025-01-29 16:49:06,102,user256,10.226.248.57,10.77.176.149,IN,file_access,success,Low,server,2815,0,password,True
168,2025-01-12 17:14:15,452,user468,10.75.254.53,10.152.142.243,AU,login_success,success,Low,desktop,6688,12753,mfa,True
169,2025-01-02 19:57:37,41,user290,10.174.31.135,10.195.222.115,US,login_failure,failed,High,laptop,3540,2023,password,True
170,2025-01-22 14:02:06,295,user182,10.68.203.222,10.244.79.88,BR,malware_alert,blocked,Critical,server,0,0,mfa,True
171,2025-01-30 07:56:03,406,user483,10.219.252.207,10.64.184.214,US,login_failure,failed,High,mobile,0,0,mfa,True
172,2025-01-07 22:38:24,70,user483,10.233.188.58,10.139.10.102,UK,policy_violation,blocked,Medium,laptop,0,10389,mfa,True
173,2025-01-30 14:07:57,302,user472,107.52.31.73,10.67.230.108,US,malware_alert,blocked,Critical,mobile,9842,7664,password,False
174,2025-01-28 23:46:44,112,user101,69.61.29.143,10.99.53.82,CA,login_failure,failed,Medium,laptop,9183,13601,sso,False
175,2025-01-18 04:28:26,222,user241,10.154.8.137,10.116.116.187,RU,file_access,success,Low,server,2837,0,password,True
176,2025-01-16 18:21:56,165,user44,10.120.147.162,10.90.237.106,US,vpn_login,success,Medium,server,4080,0,mfa,True
177,2025-01-26 08:15:28,299,user7,212.44.213.207,10.53.112.160,SG,malware_alert,blocked,High,laptop,0,17899,mfa,False
178,2025-01-04 19:26:04,427,user71,110.44.201.67,10.105.146.249,RU,vpn_login,success,Low,desktop,3545,2872,password,False
179,2025-01-20 15:40:30,221,user139,10.117.100.138,10.213.44.139,CN,malware_alert,blocked,High,mobile,2587,12962,password,True
180,2025-01-18 21:19:33,492,user204,10.227.243.76,10.151.64.187,SG,policy_violation,blocked,Medium,server,4451,7276,mfa,True
181,2025-01-20 03:43:43,142,user94,10.83.94.43,10.42.198.189,AU,login_success,success,Low,desktop,3833,0,mfa,True
182,2025-01-18 13:06:24,422,user391,10.54.25.52,10.219.79.126,DE,malware_alert,blocked,High,desktop,2251,8196,password,True
183,2025-01-05 04:12:48,348,user461,69.46.147.214,10.186.2.58,CA,login_success,success,Low,desktop,4338,26973,password,False
184,2025-01-28 14:27:41,156,user396,209.74.227.19,10.41.252.124,AU,login_success,success,Low,mobile,0,6096,mfa,False
185,2025-01-19 15:32:19,464,user155,10.15.238.58,10.154.239.244,BR,vpn_login,success,Medium,laptop,5997,0,sso,True
186,2025-01-01 03:35:06,323,user341,62.226.195.85,10.63.194.13,US,login_success,success,Medium,laptop,7462,17754,sso,False
187,2025-01-13 17:44:34,72,user271,116.219.56.238,10.225.2.191,DE,login_success,success,Low,laptop,336,12611,sso,False
188,2025-01-09 10:09:34,279,user492,10.62.135.237,10.114.106.82,DE,login_failure,failed,Medium,laptop,0,14575,mfa,True
189,2025-01-25 06:35:13,42,user360,97.251.49.48,10.197.13.123,BR,malware_alert,blocked,Critical,mobile,167,3867,mfa,False
190,2025-01-30 13:11:01,269,user106,191.63.14.156,10.90.158.186,IN,file_access,success,Low,mobile,3378,0,mfa,False
191,2025-01-05 07:07:38,125,user274,10.50.13.103,10.89.47.76,US,malware_alert,blocked,Critical,desktop,4735,5699,password,True
192,2025-01-03 19:31:04,344,user4,17.47.235.228,10.229.95.68,DE,login_failure,failed,High,desktop,0,0,password,False
193,2025-01-20 03:17:40,245,user131,10.167.44.105,10.134.53.204,RU,file_access,success,Low,laptop,0,9302,mfa,True
194,2025-01-12 16:22:12,419,user50,10.168.81.37,10.48.130.22,SG,file_access,success,Low,desktop,0,9924,mfa,True
195,2025-01-04 03:52:43,285,user208,15.210.174.86,10.196.63.249,SG,file_access,success,Medium,server,2238,8509,sso,False
196,2025-01-10 01:09:51,68,user458,10.23.215.207,10.189.74.215,CN,file_access,success,Low,desktop,1761,0,mfa,True
197,2025-01-12 10:39:54,389,user404,10.153.42.21,10.140.99.57,DE,policy_violation,blocked,High,desktop,5832,0,mfa,True
198,2025-01-25 02:40:10,66,user19,27.251.28.190,10.86.2.153,CN,login_success,success,Low,desktop,1630,1094,sso,False
199,2025-01-15 01:58:16,438,user174,43.228.89.8,10.49.107.18,CN,login_success,success,Low,laptop,7083,10740,mfa,False
200,2025-01-12 11:03:17,253,user42,10.159.227.253,10.170.18.157,US,login_success,success,Low,mobile,704,0,mfa,True
201,2025-01-26 22:36:32,216,user381,31.199.222.30,10.74.235.106,IN,login_failure,failed,Low,laptop,0,1202,mfa,False
202,2025-01-27 07:41:27,188,user67,156.229.160.190,10.101.154.236,UK,malware_alert,blocked,Medium,laptop,996,15759,sso,False
203,2025-01-30 06:22:45,19,user312,132.63.2.94,10.54.91.201,CA,file_access,success,Low,desktop,9229,15782,sso,False
204,2025-01-04 21:10:47,16,user16,10.195.50.195,10.138.160.43,BR,login_failure,failed,Low,server,0,0,password,True
205,2025-01-04 23:34:50,26,user357,10.28.170.43,10.232.28.216,IN,policy_violation,blocked,Medium,laptop,5589,14473,password,True
206,2025-01-09 06:50:28,342,user148,10.41.0.193,10.11.105.66,BR,policy_violation,blocked,Medium,laptop,1808,3761,password,True
207,2025-01-24 06:49:57,427,user426,10.139.3.135,10.71.138.65,SG,login_success,success,Low,desktop,5370,16521,sso,True
208,2025-01-06 15:46:13,245,user104,10.102.119.11,10.57.134.8,UK,vpn_login,success,Low,laptop,3601,5175,password,True
209,2025-01-04 00:44:06,287,user6,10.6.87.127,10.131.80.72,AU,login_failure,failed,Low,server,2166,0,password,True
210,2025-01-27 11:25:30,456,user146,10.191.59.129,10.205.84.146,SG,policy_violation,blocked,High,mobile,174,0,sso,True
211,2025-01-24 20:38:35,101,user18,10.148.254.231,10.192.101.156,CA,login_failure,failed,Low,mobile,0,19389,sso,True
212,2025-01-01 22:31:30,357,user9,108.59.161.140,10.181.161.229,SG,login_failure,failed,Medium,server,10552,16623,mfa,False
213,2025-01-12 08:48:38,217,user121,10.33.109.216,10.151.41.173,US,malware_alert,blocked,Critical,desktop,6345,517,sso,True
214,2025-01-16 01:59:01,368,user123,198.191.228.231,10.131.132.78,SG,login_failure,failed,Medium,mobile,877,4455,sso,False
215,2025-01-19 01:07:51,344,user344,10.94.193.233,10.8.18.113,IN,malware_alert,blocked,High,laptop,0,19527,password,True
216,2025-01-05 23:44:22,337,user77,10.1.167.247,10.83.178.191,AU,vpn_login,success,Low,mobile,8311,14445,mfa,True
